DepTimeDateTime,FlightCount,Subdir
2020-01-01,18003,2020-1
2020-01-02,20525,2020-1
2020-01-03,20527,2020-1
2020-01-04,18044,2020-1
2020-01-05,20558,2020-1
2020-01-06,20897,2020-1
2020-01-07,19089,2020-1
2020-01-08,19587,2020-1
2020-01-09,20748,2020-1
2020-01-10,20054,2020-1
2020-01-11,14842,2020-1
2020-01-12,19694,2020-1
2020-01-13,20434,2020-1
2020-01-14,18958,2020-1
2020-01-15,19617,2020-1
2020-01-16,20554,2020-1
2020-01-17,19376,2020-1
2020-01-18,14919,2020-1
2020-01-19,17988,2020-1
2020-01-20,20200,2020-1
2020-01-21,19056,2020-1
2020-01-22,19603,2020-1
2020-01-23,20633,2020-1
2020-01-24,20485,2020-1
2020-01-25,15928,2020-1
2020-01-26,19884,2020-1
2020-01-27,20316,2020-1
2020-01-28,19092,2020-1
2020-01-29,19638,2020-1
2020-01-30,20702,2020-1
2020-01-31,20731,2020-1
2020-02-01,15729,2020-2
2020-02-02,18756,2020-2
2020-02-03,20513,2020-2
2020-02-04,19121,2020-2
2020-02-05,19463,2020-2
2020-02-06,20014,2020-2
2020-02-07,20003,2020-2
2020-02-08,15933,2020-2
2020-02-09,19479,2020-2
2020-02-10,20606,2020-2
2020-02-11,19148,2020-2
2020-02-12,19688,2020-2
2020-02-13,20728,2020-2
2020-02-14,21227,2020-2
2020-02-15,16664,2020-2
2020-02-16,18823,2020-2
2020-02-17,20956,2020-2
2020-02-18,20422,2020-2
2020-02-19,20633,2020-2
2020-02-20,20992,2020-2
2020-02-21,21239,2020-2
2020-02-22,17104,2020-2
2020-02-23,20407,2020-2
2020-02-24,21204,2020-2
2020-02-25,20353,2020-2
2020-02-26,20622,2020-2
2020-02-27,21168,2020-2
2020-02-28,21257,2020-2
2020-02-29,17078,2020-2
2020-03-01,20393,2020-3
2020-03-02,21276,2020-3
2020-03-03,20414,2020-3
2020-03-04,20664,2020-3
2020-03-05,21388,2020-3
2020-03-06,21508,2020-3
2020-03-07,18030,2020-3
2020-03-08,20789,2020-3
2020-03-09,21644,2020-3
2020-03-10,20799,2020-3
2020-03-11,21026,2020-3
2020-03-12,21905,2020-3
2020-03-13,21807,2020-3
2020-03-14,18549,2020-3
2020-03-15,21096,2020-3
2020-03-16,21638,2020-3
2020-03-17,20315,2020-3
2020-03-18,19476,2020-3
2020-03-19,18253,2020-3
2020-03-20,17769,2020-3
2020-03-21,14571,2020-3
2020-03-22,15464,2020-3
2020-03-23,14000,2020-3
2020-03-24,13008,2020-3
2020-03-25,11824,2020-3
2020-03-26,11267,2020-3
2020-03-27,10273,2020-3
2020-03-28,9550,2020-3
2020-03-29,10518,2020-3
2020-03-30,9696,2020-3
2020-03-31,9365,2020-3
2020-04-01,8962,2020-4
2020-04-02,8170,2020-4
2020-04-03,8509,2020-4
2020-04-04,7340,2020-4
2020-04-05,8092,2020-4
2020-04-06,7784,2020-4
2020-04-07,6958,2020-4
2020-04-08,7062,2020-4
2020-04-09,7160,2020-4
2020-04-10,7031,2020-4
2020-04-11,6158,2020-4
2020-04-12,6303,2020-4
2020-04-13,6641,2020-4
2020-04-14,5890,2020-4
2020-04-15,5738,2020-4
2020-04-16,5319,2020-4
2020-04-17,5400,2020-4
2020-04-18,4863,2020-4
2020-04-19,5039,2020-4
2020-04-20,5097,2020-4
2020-04-21,4860,2020-4
2020-04-22,4958,2020-4
2020-04-23,5214,2020-4
2020-04-24,5132,2020-4
2020-04-25,4583,2020-4
2020-04-26,5015,2020-4
2020-04-27,5056,2020-4
2020-04-28,4826,2020-4
2020-04-29,4954,2020-4
2020-04-30,5269,2020-4
2020-05-01,5701,2020-5
2020-05-02,4612,2020-5
2020-05-03,5675,2020-5
2020-05-04,5643,2020-5
2020-05-05,4710,2020-5
2020-05-06,4944,2020-5
2020-05-07,5469,2020-5
2020-05-08,5629,2020-5
2020-05-09,4784,2020-5
2020-05-10,5544,2020-5
2020-05-11,5592,2020-5
2020-05-12,4720,2020-5
2020-05-13,5216,2020-5
2020-05-14,5697,2020-5
2020-05-15,5680,2020-5
2020-05-16,4868,2020-5
2020-05-17,5683,2020-5
2020-05-18,5707,2020-5
2020-05-19,4750,2020-5
2020-05-20,5341,2020-5
2020-05-21,6056,2020-5
2020-05-22,6122,2020-5
2020-05-23,5167,2020-5
2020-05-24,5890,2020-5
2020-05-25,6074,2020-5
2020-05-26,4974,2020-5
2020-05-27,5423,2020-5
2020-05-28,6026,2020-5
2020-05-29,6044,2020-5
2020-05-30,5132,2020-5
2020-05-31,6155,2020-5
2020-06-01,6234,2020-6
2020-06-02,5268,2020-6
2020-06-03,5918,2020-6
2020-06-04,6782,2020-6
2020-06-05,6924,2020-6
2020-06-06,6243,2020-6
2020-06-07,7424,2020-6
2020-06-08,7549,2020-6
2020-06-09,6558,2020-6
2020-06-10,6692,2020-6
2020-06-11,7756,2020-6
2020-06-12,7775,2020-6
2020-06-13,6957,2020-6
2020-06-14,7970,2020-6
2020-06-15,7956,2020-6
2020-06-16,6862,2020-6
2020-06-17,6929,2020-6
2020-06-18,8033,2020-6
2020-06-19,8090,2020-6
2020-06-20,7332,2020-6
2020-06-21,8318,2020-6
2020-06-22,8404,2020-6
2020-06-23,7318,2020-6
2020-06-24,7423,2020-6
2020-06-25,8537,2020-6
2020-06-26,8588,2020-6
2020-06-27,7879,2020-6
2020-06-28,8665,2020-6
2020-06-29,8818,2020-6
2020-06-30,7739,2020-6
2020-07-01,8583,2020-7
2020-07-02,10169,2020-7
2020-07-03,10108,2020-7
2020-07-04,8258,2020-7
2020-07-05,10071,2020-7
2020-07-06,10695,2020-7
2020-07-07,10462,2020-7
2020-07-08,10872,2020-7
2020-07-09,12249,2020-7
2020-07-10,12317,2020-7
2020-07-11,11545,2020-7
2020-07-12,12340,2020-7
2020-07-13,12365,2020-7
2020-07-14,10637,2020-7
2020-07-15,10872,2020-7
2020-07-16,12361,2020-7
2020-07-17,12432,2020-7
2020-07-18,11603,2020-7
2020-07-19,12340,2020-7
2020-07-20,12392,2020-7
2020-07-21,10630,2020-7
2020-07-22,10843,2020-7
2020-07-23,12396,2020-7
2020-07-24,12427,2020-7
2020-07-25,11489,2020-7
2020-07-26,12124,2020-7
2020-07-27,12256,2020-7
2020-07-28,10479,2020-7
2020-07-29,10718,2020-7
2020-07-30,12001,2020-7
2020-07-31,12083,2020-7
2020-08-01,11768,2020-8
2020-08-02,12629,2020-8
2020-08-03,12793,2020-8
2020-08-04,10432,2020-8
2020-08-05,11054,2020-8
2020-08-06,12798,2020-8
2020-08-07,12810,2020-8
2020-08-08,11951,2020-8
2020-08-09,12775,2020-8
2020-08-10,12615,2020-8
2020-08-11,10874,2020-8
2020-08-12,11059,2020-8
2020-08-13,12783,2020-8
2020-08-14,12726,2020-8
2020-08-15,11939,2020-8
2020-08-16,12749,2020-8
2020-08-17,12565,2020-8
2020-08-18,10743,2020-8
2020-08-19,10865,2020-8
2020-08-20,12711,2020-8
2020-08-21,12608,2020-8
2020-08-22,11688,2020-8
2020-08-23,12773,2020-8
2020-08-24,12504,2020-8
2020-08-25,10721,2020-8
2020-08-26,10316,2020-8
2020-08-27,12356,2020-8
2020-08-28,12501,2020-8
2020-08-29,11648,2020-8
2020-08-30,12603,2020-8
2020-08-31,12509,2020-8
2020-09-01,10508,2020-9
2020-09-02,10586,2020-9
2020-09-03,12663,2020-9
2020-09-04,12657,2020-9
2020-09-05,10684,2020-9
2020-09-06,10414,2020-9
2020-09-07,11757,2020-9
2020-09-08,9714,2020-9
2020-09-09,9787,2020-9
2020-09-10,11171,2020-9
2020-09-11,11154,2020-9
2020-09-12,10264,2020-9
2020-09-13,11247,2020-9
2020-09-14,10937,2020-9
2020-09-15,9201,2020-9
2020-09-16,9726,2020-9
2020-09-17,11125,2020-9
2020-09-18,11202,2020-9
2020-09-19,10360,2020-9
2020-09-20,11363,2020-9
2020-09-21,11078,2020-9
2020-09-22,9417,2020-9
2020-09-23,9914,2020-9
2020-09-24,11251,2020-9
2020-09-25,11251,2020-9
2020-09-26,10345,2020-9
2020-09-27,11386,2020-9
2020-09-28,11105,2020-9
2020-09-29,9441,2020-9
2020-09-30,9878,2020-9
2020-10-01,11599,2020-10
2020-10-02,11763,2020-10
2020-10-03,10754,2020-10
2020-10-04,11927,2020-10
2020-10-05,11659,2020-10
2020-10-06,9584,2020-10
2020-10-07,9936,2020-10
2020-10-08,12326,2020-10
2020-10-09,12488,2020-10
2020-10-10,11177,2020-10
2020-10-11,12673,2020-10
2020-10-12,12391,2020-10
2020-10-13,9922,2020-10
2020-10-14,10151,2020-10
2020-10-15,12325,2020-10
2020-10-16,12512,2020-10
2020-10-17,11350,2020-10
2020-10-18,12809,2020-10
2020-10-19,12309,2020-10
2020-10-20,9915,2020-10
2020-10-21,10127,2020-10
2020-10-22,12234,2020-10
2020-10-23,12376,2020-10
2020-10-24,10768,2020-10
2020-10-25,11818,2020-10
2020-10-26,11666,2020-10
2020-10-27,9577,2020-10
2020-10-28,9738,2020-10
2020-10-29,11662,2020-10
2020-10-30,11858,2020-10
2020-10-31,8900,2020-10
2020-11-01,11481,2020-11
2020-11-02,11642,2020-11
2020-11-03,9005,2020-11
2020-11-04,9671,2020-11
2020-11-05,12365,2020-11
2020-11-06,12419,2020-11
2020-11-07,10790,2020-11
2020-11-08,13014,2020-11
2020-11-09,12651,2020-11
2020-11-10,9622,2020-11
2020-11-11,10161,2020-11
2020-11-12,12783,2020-11
2020-11-13,12843,2020-11
2020-11-14,11194,2020-11
2020-11-15,13143,2020-11
2020-11-16,12676,2020-11
2020-11-17,9625,2020-11
2020-11-18,10525,2020-11
2020-11-19,13116,2020-11
2020-11-20,13748,2020-11
2020-11-21,13313,2020-11
2020-11-22,13875,2020-11
2020-11-23,12634,2020-11
2020-11-24,13776,2020-11
2020-11-25,13971,2020-11
2020-11-26,7243,2020-11
2020-11-27,11334,2020-11
2020-11-28,14294,2020-11
2020-11-29,15090,2020-11
2020-11-30,14392,2020-11
2020-12-01,11883,2020-12
2020-12-02,9941,2020-12
2020-12-03,11877,2020-12
2020-12-04,11936,2020-12
2020-12-05,9978,2020-12
2020-12-06,12085,2020-12
2020-12-07,11889,2020-12
2020-12-08,9279,2020-12
2020-12-09,9760,2020-12
2020-12-10,11870,2020-12
2020-12-11,11926,2020-12
2020-12-12,9933,2020-12
2020-12-13,12036,2020-12
2020-12-14,11868,2020-12
2020-12-15,9311,2020-12
2020-12-16,9518,2020-12
2020-12-17,12604,2020-12
2020-12-18,13713,2020-12
2020-12-19,13863,2020-12
2020-12-20,13854,2020-12
2020-12-21,13733,2020-12
2020-12-22,13570,2020-12
2020-12-23,13922,2020-12
2020-12-24,9897,2020-12
2020-12-25,8702,2020-12
2020-12-26,13751,2020-12
2020-12-27,14350,2020-12
2020-12-28,13791,2020-12
2020-12-29,13254,2020-12
2020-12-30,13611,2020-12
2020-12-31,9915,2020-12
2021-01-01,10584,2021-1
2021-01-02,14346,2021-1
2021-01-03,14900,2021-1
2021-01-04,13916,2021-1
2021-01-05,10966,2021-1
2021-01-06,10794,2021-1
2021-01-07,12217,2021-1
2021-01-08,12202,2021-1
2021-01-09,10347,2021-1
2021-01-10,12000,2021-1
2021-01-11,11981,2021-1
2021-01-12,9995,2021-1
2021-01-13,10177,2021-1
2021-01-14,12179,2021-1
2021-01-15,12325,2021-1
2021-01-16,10265,2021-1
2021-01-17,11689,2021-1
2021-01-18,11995,2021-1
2021-01-19,10036,2021-1
2021-01-20,10178,2021-1
2021-01-21,12220,2021-1
2021-01-22,12282,2021-1
2021-01-23,10260,2021-1
2021-01-24,12341,2021-1
2021-01-25,11771,2021-1
2021-01-26,9782,2021-1
2021-01-27,10129,2021-1
2021-01-28,11936,2021-1
2021-01-29,12248,2021-1
2021-01-30,10084,2021-1
2021-01-31,11748,2021-1
2021-02-01,10811,2021-2
2021-02-02,9563,2021-2
2021-02-03,10160,2021-2
2021-02-04,12001,2021-2
2021-02-05,12371,2021-2
2021-02-06,10341,2021-2
2021-02-07,11675,2021-2
2021-02-08,12136,2021-2
2021-02-09,10010,2021-2
2021-02-10,10365,2021-2
2021-02-11,12667,2021-2
2021-02-12,13090,2021-2
2021-02-13,10177,2021-2
2021-02-14,10166,2021-2
2021-02-15,9820,2021-2
2021-02-16,8365,2021-2
2021-02-17,8877,2021-2
2021-02-18,10659,2021-2
2021-02-19,12233,2021-2
2021-02-20,11015,2021-2
2021-02-21,13060,2021-2
2021-02-22,12861,2021-2
2021-02-23,10623,2021-2
2021-02-24,10913,2021-2
2021-02-25,12982,2021-2
2021-02-26,13154,2021-2
2021-02-27,11064,2021-2
2021-02-28,13065,2021-2
2021-03-01,12914,2021-3
2021-03-02,10913,2021-3
2021-03-03,11288,2021-3
2021-03-04,14067,2021-3
2021-03-05,14232,2021-3
2021-03-06,12700,2021-3
2021-03-07,14838,2021-3
2021-03-08,14800,2021-3
2021-03-09,12304,2021-3
2021-03-10,12842,2021-3
2021-03-11,15437,2021-3
2021-03-12,15535,2021-3
2021-03-13,13337,2021-3
2021-03-14,13925,2021-3
2021-03-15,14172,2021-3
2021-03-16,13434,2021-3
2021-03-17,13457,2021-3
2021-03-18,15399,2021-3
2021-03-19,15662,2021-3
2021-03-20,14303,2021-3
2021-03-21,15606,2021-3
2021-03-22,15362,2021-3
2021-03-23,13691,2021-3
2021-03-24,13976,2021-3
2021-03-25,15686,2021-3
2021-03-26,15707,2021-3
2021-03-27,14364,2021-3
2021-03-28,15543,2021-3
2021-03-29,15497,2021-3
2021-03-30,13760,2021-3
2021-03-31,14026,2021-3
2021-04-01,15679,2021-4
2021-04-02,15942,2021-4
2021-04-03,14476,2021-4
2021-04-04,15724,2021-4
2021-04-05,16015,2021-4
2021-04-06,13799,2021-4
2021-04-07,14068,2021-4
2021-04-08,16067,2021-4
2021-04-09,16074,2021-4
2021-04-10,14508,2021-4
2021-04-11,15150,2021-4
2021-04-12,15603,2021-4
2021-04-13,13223,2021-4
2021-04-14,13355,2021-4
2021-04-15,15828,2021-4
2021-04-16,15809,2021-4
2021-04-17,14160,2021-4
2021-04-18,15814,2021-4
2021-04-19,15667,2021-4
2021-04-20,13160,2021-4
2021-04-21,13404,2021-4
2021-04-22,15890,2021-4
2021-04-23,15648,2021-4
2021-04-24,14051,2021-4
2021-04-25,15801,2021-4
2021-04-26,15752,2021-4
2021-04-27,13132,2021-4
2021-04-28,13368,2021-4
2021-04-29,15836,2021-4
2021-04-30,15263,2021-4
2021-05-01,13999,2021-5
2021-05-02,15687,2021-5
2021-05-03,15579,2021-5
2021-05-04,12939,2021-5
2021-05-05,13726,2021-5
2021-05-06,16414,2021-5
2021-05-07,16556,2021-5
2021-05-08,15041,2021-5
2021-05-09,16849,2021-5
2021-05-10,16653,2021-5
2021-05-11,14269,2021-5
2021-05-12,15047,2021-5
2021-05-13,16960,2021-5
2021-05-14,16966,2021-5
2021-05-15,15107,2021-5
2021-05-16,16755,2021-5
2021-05-17,16889,2021-5
2021-05-18,14970,2021-5
2021-05-19,15339,2021-5
2021-05-20,17125,2021-5
2021-05-21,17156,2021-5
2021-05-22,15302,2021-5
2021-05-23,17082,2021-5
2021-05-24,16993,2021-5
2021-05-25,15131,2021-5
2021-05-26,15577,2021-5
2021-05-27,17226,2021-5
2021-05-28,17357,2021-5
2021-05-29,15342,2021-5
2021-05-30,16275,2021-5
2021-05-31,17059,2021-5
2021-06-01,15794,2021-6
2021-06-02,16082,2021-6
2021-06-03,17761,2021-6
2021-06-04,18190,2021-6
2021-06-05,16967,2021-6
2021-06-06,18600,2021-6
2021-06-07,18236,2021-6
2021-06-08,17169,2021-6
2021-06-09,17567,2021-6
2021-06-10,18729,2021-6
2021-06-11,18901,2021-6
2021-06-12,17324,2021-6
2021-06-13,18575,2021-6
2021-06-14,18660,2021-6
2021-06-15,17036,2021-6
2021-06-16,17575,2021-6
2021-06-17,18807,2021-6
2021-06-18,18809,2021-6
2021-06-19,17434,2021-6
2021-06-20,18678,2021-6
2021-06-21,18280,2021-6
2021-06-22,17518,2021-6
2021-06-23,17982,2021-6
2021-06-24,18716,2021-6
2021-06-25,18687,2021-6
2021-06-26,17059,2021-6
2021-06-27,18616,2021-6
2021-06-28,18532,2021-6
2021-06-29,17449,2021-6
2021-06-30,17825,2021-6
2021-07-01,18694,2021-7
2021-07-02,18616,2021-7
2021-07-03,17216,2021-7
2021-07-04,16848,2021-7
2021-07-05,18949,2021-7
2021-07-06,17702,2021-7
2021-07-07,18015,2021-7
2021-07-08,19055,2021-7
2021-07-09,19005,2021-7
2021-07-10,17746,2021-7
2021-07-11,19012,2021-7
2021-07-12,18971,2021-7
2021-07-13,17934,2021-7
2021-07-14,18229,2021-7
2021-07-15,19213,2021-7
2021-07-16,19361,2021-7
2021-07-17,17556,2021-7
2021-07-18,18998,2021-7
2021-07-19,19127,2021-7
2021-07-20,18178,2021-7
2021-07-21,18439,2021-7
2021-07-22,19302,2021-7
2021-07-23,19366,2021-7
2021-07-24,17816,2021-7
2021-07-25,19137,2021-7
2021-07-26,19117,2021-7
2021-07-27,18106,2021-7
2021-07-28,18483,2021-7
2021-07-29,19272,2021-7
2021-07-30,19360,2021-7
2021-07-31,17615,2021-7
2021-08-01,18377,2021-8
2021-08-02,18283,2021-8
2021-08-03,17201,2021-8
2021-08-04,17811,2021-8
2021-08-05,18941,2021-8
2021-08-06,18930,2021-8
2021-08-07,17563,2021-8
2021-08-08,18961,2021-8
2021-08-09,18647,2021-8
2021-08-10,17578,2021-8
2021-08-11,17708,2021-8
2021-08-12,19229,2021-8
2021-08-13,19106,2021-8
2021-08-14,17056,2021-8
2021-08-15,18567,2021-8
2021-08-16,19008,2021-8
2021-08-17,16563,2021-8
2021-08-18,17322,2021-8
2021-08-19,19003,2021-8
2021-08-20,18953,2021-8
2021-08-21,16946,2021-8
2021-08-22,18333,2021-8
2021-08-23,18621,2021-8
2021-08-24,16967,2021-8
2021-08-25,17531,2021-8
2021-08-26,19163,2021-8
2021-08-27,19120,2021-8
2021-08-28,17080,2021-8
2021-08-29,18615,2021-8
2021-08-30,18202,2021-8
2021-08-31,16993,2021-8
2021-09-01,17145,2021-9
2021-09-02,18636,2021-9
2021-09-03,19007,2021-9
2021-09-04,16428,2021-9
2021-09-05,16802,2021-9
